,will it rain tomorrow,my prediction
5475,No,No
5476,No,No
5477,No,No
5478,No,No
5479,Yes,No
5480,Yes,Yes
5481,Yes,Yes
5482,No,No
5483,No,No
5484,No,No
5485,No,No
5486,No,No
5487,No,No
5488,No,No
5489,No,No
5490,Yes,Yes
5491,No,No
5492,No,No
5493,No,No
5494,No,No
5495,No,No
5496,No,No
5497,Yes,Yes
5498,Yes,No
5499,No,No
5500,No,No
5501,No,No
5502,No,No
5503,No,No
5504,Yes,No
5505,No,No
5506,Yes,Yes
5507,No,No
5508,No,No
5509,No,No
5510,No,No
5511,No,No
5512,No,No
5513,No,No
5514,No,No
5515,No,No
5516,Yes,No
5517,No,No
5518,Yes,Yes
5519,Yes,Yes
5520,Yes,No
5521,Yes,Yes
5522,Yes,Yes
5523,No,No
5524,No,No
5525,No,No
5526,No,No
5527,Yes,No
5528,No,No
5529,No,No
5530,No,No
5531,No,No
5532,Yes,Yes
5533,No,No
5534,No,No
5535,Yes,Yes
5536,Yes,No
5537,No,No
5538,Yes,No
5539,Yes,Yes
5540,Yes,No
5541,No,No
5542,No,No
5543,No,No
5544,No,No
5545,Yes,Yes
5546,No,No
5547,No,No
5548,No,No
5549,No,No
5550,No,No
5551,Yes,No
5552,No,No
5553,Yes,No
5554,No,No
5555,No,No
5556,No,No
5557,Yes,No
5558,Yes,No
5559,No,No
5560,No,No
5561,No,No
5562,No,No
5563,No,No
5564,No,No
5565,No,No
5566,No,No
5567,No,No
5568,No,No
5569,No,No
5570,No,No
5571,No,No
5572,No,No
5573,No,No
5574,No,No
5575,Yes,Yes
5576,No,No
5577,No,No
5578,No,No
5579,Yes,Yes
5580,No,No
5581,No,No
5582,No,No
5583,Yes,No
5584,Yes,Yes
5585,No,No
5586,No,No
5587,No,No
5588,No,No
5589,No,No
5590,No,No
5591,No,No
5592,Yes,Yes
5593,No,No
5594,No,No
5595,No,No
5596,No,No
5597,No,No
5598,No,No
5599,No,No
5600,No,No
5601,No,Yes
5602,No,No
5603,Yes,Yes
5604,Yes,No
5605,No,No
5606,No,No
5607,No,No
5608,No,No
5609,No,No
5610,No,No
5611,Yes,Yes
5612,No,No
5613,No,No
5614,Yes,Yes
5615,No,No
5616,No,No
5617,No,No
5618,No,No
5619,Yes,Yes
5620,No,No
5621,No,No
5622,No,No
5623,No,No
5624,Yes,No
5625,No,No
5626,No,No
5627,No,No
5628,Yes,Yes
5629,No,No
5630,No,No
5631,No,No
5632,No,No
5633,No,No
5634,No,No
5635,Yes,Yes
5636,Yes,No
5637,Yes,Yes
5638,No,No
5639,No,No
5640,No,No
5641,No,No
5642,Yes,Yes
5643,No,No
5644,Yes,Yes
5645,No,No
5646,Yes,No
5647,No,No
5648,Yes,Yes
5649,Yes,Yes
5650,No,No
5651,Yes,Yes
5652,No,No
5653,No,No
5654,No,No
5655,Yes,No
5656,No,No
5657,No,No
5658,No,No
5659,No,No
5660,No,No
5661,No,No
5662,No,Yes
5663,No,No
5664,No,No
5665,No,No
5666,Yes,Yes
5667,No,No
5668,No,No
5669,No,No
5670,No,No
5671,No,No
5672,No,No
5673,No,No
5674,No,No
5675,No,No
5676,Yes,No
5677,No,No
5678,Yes,Yes
5679,No,No
5680,Yes,No
5681,No,No
5682,No,No
5683,No,No
5684,Yes,No
5685,No,No
5686,Yes,No
5687,No,No
5688,No,No
5689,No,No
5690,Yes,Yes
5691,No,No
5692,No,No
5693,No,No
5694,No,No
5695,No,No
5696,Yes,No
5697,No,No
5698,No,No
5699,Yes,Yes
5700,No,No
5701,No,No
5702,No,No
5703,Yes,Yes
5704,No,No
5705,No,No
5706,No,No
5707,No,No
5708,No,No
5709,No,No
5710,No,No
5711,Yes,Yes
5712,No,No
5713,No,Yes
5714,No,No
5715,No,No
5716,Yes,No
5717,Yes,No
5718,No,No
5719,No,No
5720,Yes,No
5721,No,No
5722,No,No
5723,No,No
5724,No,No
5725,No,No
5726,No,No
5727,No,Yes
5728,Yes,No
5729,No,No
5730,Yes,Yes
5731,No,No
5732,Yes,No
5733,No,No
5734,No,No
5735,No,Yes
5736,No,No
5737,No,No
5738,Yes,Yes
5739,No,No
5740,Yes,No
5741,No,No
5742,No,No
5743,No,No
5744,No,Yes
5745,Yes,Yes
5746,No,No
5747,No,No
5748,No,Yes
5749,No,No
5750,No,No
5751,No,No
5752,Yes,No
5753,No,No
5754,Yes,No
5755,No,No
5756,Yes,No
5757,No,No
5758,Yes,No
5759,No,No
5760,Yes,No
5761,No,No
5762,No,No
5763,No,No
5764,No,No
5765,No,No
5766,No,No
5767,No,No
5768,No,No
5769,No,No
5770,No,No
5771,No,No
5772,No,No
5773,No,No
5774,No,No
5775,No,No
5776,No,No
5777,No,No
5778,No,No
5779,No,No
5780,No,No
5781,No,No
5782,Yes,Yes
5783,No,No
5784,Yes,No
5785,No,No
5786,No,No
5787,No,No
5788,No,No
5789,No,No
5790,No,No
5791,No,No
5792,No,No
5793,Yes,Yes
5794,No,No
5795,No,No
5796,No,No
5797,No,No
5798,Yes,Yes
5799,No,No
5800,No,No
5801,No,No
5802,No,No
5803,No,No
5804,No,No
5805,No,No
5806,No,No
5807,Yes,Yes
5808,No,No
5809,Yes,No
5810,No,No
5811,No,No
5812,No,No
5813,No,No
5814,Yes,No
5815,No,No
5816,No,No
5817,No,No
5818,No,Yes
5819,No,No
5820,No,No
5821,No,No
5822,Yes,Yes
5823,No,No
5824,No,No
5825,No,No
5826,No,No
5827,No,No
5828,Yes,No
5829,No,No
5830,Yes,No
5831,No,No
5832,No,No
5833,Yes,No
5834,No,No
5835,No,No
5836,No,Yes
5837,Yes,No
5838,No,No
5839,No,No
5840,No,No
5841,No,No
5842,Yes,No
5843,Yes,Yes
5844,Yes,Yes
5845,Yes,Yes
5846,No,No
5847,No,No
5848,No,No
5849,No,No
5850,No,No
5851,No,Yes
5852,Yes,No
5853,No,No
5854,No,No
5855,Yes,No
5856,No,No
5857,Yes,No
5858,No,No
5859,Yes,Yes
5860,No,No
5861,No,No
5862,No,Yes
5863,No,No
5864,No,No
5865,No,No
5866,No,No
5867,No,No
5868,No,No
5869,No,No
5870,Yes,Yes
5871,No,No
5872,No,No
5873,No,No
5874,No,No
5875,No,No
5876,No,No
5877,No,No
5878,Yes,No
5879,Yes,No
5880,No,No
5881,Yes,No
5882,No,No
5883,No,No
5884,No,No
5885,No,No
5886,Yes,Yes
5887,No,No
5888,Yes,No
5889,No,No
5890,Yes,Yes
5891,No,No
5892,No,No
5893,No,No
5894,Yes,No
5895,No,No
5896,No,No
5897,No,No
5898,No,No
5899,No,No
5900,No,No
5901,No,No
5902,No,No
5903,No,No
5904,Yes,No
5905,No,No
5906,Yes,Yes
5907,No,No
5908,No,No
5909,No,No
5910,Yes,No
5911,No,No
5912,No,No
5913,No,No
5914,Yes,Yes
5915,No,No
5916,Yes,Yes
5917,No,No
5918,No,No
5919,No,Yes
5920,Yes,Yes
5921,No,No
5922,No,No
5923,Yes,No
5924,Yes,No
5925,No,No
5926,No,No
5927,Yes,Yes
5928,No,No
5929,No,No
5930,No,No
5931,No,No
5932,No,No
5933,No,No
5934,No,No
5935,No,No
5936,No,No
5937,No,No
5938,Yes,Yes
5939,No,No
5940,Yes,No
5941,Yes,Yes
5942,No,No
5943,Yes,No
5944,No,No
5945,No,No
5946,Yes,Yes
5947,Yes,Yes
5948,Yes,Yes
5949,No,No
5950,No,No
5951,No,No
5952,No,No
5953,No,No
5954,No,No
5955,No,No
5956,No,Yes
5957,No,No
5958,No,No
5959,No,No
5960,No,No
5961,Yes,No
5962,No,No
5963,No,No
5964,No,No
5965,No,No
5966,Yes,Yes
5967,No,No
5968,No,No
5969,Yes,No
5970,No,No
5971,No,No
5972,No,No
5973,Yes,No
5974,No,No
5975,No,No
5976,No,No
5977,Yes,Yes
5978,No,No
5979,No,No
5980,No,No
5981,No,No
5982,No,No
5983,Yes,No
5984,No,No
5985,No,No
5986,No,No
5987,No,No
5988,No,No
5989,Yes,Yes
5990,No,No
5991,No,No
5992,No,No
5993,No,No
5994,Yes,No
5995,No,No
5996,No,No
5997,Yes,No
5998,No,No
5999,No,No
6000,No,No
6001,No,No
6002,No,No
6003,No,No
6004,No,No
6005,Yes,Yes
6006,No,No
6007,No,No
6008,Yes,Yes
6009,No,No
6010,No,No
6011,No,No
6012,No,No
6013,No,No
6014,No,No
6015,No,No
6016,Yes,No
6017,Yes,No
6018,No,No
6019,No,No
6020,Yes,No
6021,No,No
6022,No,No
6023,Yes,No
6024,No,No
6025,No,No
6026,Yes,Yes
6027,No,No
6028,No,Yes
6029,No,No
6030,Yes,No
6031,No,No
6032,No,No
6033,No,No
6034,Yes,No
6035,Yes,No
6036,No,No
6037,No,No
6038,No,Yes
6039,No,No
6040,No,No
6041,Yes,No
6042,No,No
6043,Yes,No
6044,No,No
6045,No,No
6046,No,No
6047,No,No
6048,Yes,No
6049,No,No
6050,Yes,No
6051,No,No
6052,No,No
6053,Yes,Yes
6054,No,No
6055,No,No
6056,No,No
6057,No,No
6058,Yes,Yes
6059,Yes,No
6060,No,No
6061,No,No
6062,No,No
6063,No,No
6064,No,No
6065,Yes,No
6066,No,No
6067,No,No
6068,No,No
6069,No,No
6070,Yes,Yes
6071,Yes,No
6072,No,No
6073,No,No
6074,No,No
6075,No,No
6076,No,No
6077,No,No
6078,No,No
6079,No,No
6080,No,No
6081,No,No
6082,Yes,No
6083,No,No
6084,No,No
6085,No,No
6086,No,Yes
6087,No,No
6088,No,No
6089,No,No
6090,Yes,No
6091,No,No
6092,No,No
6093,No,Yes
6094,No,No
6095,No,No
6096,No,Yes
6097,No,No
6098,No,No
6099,No,No
6100,No,No
6101,Yes,Yes
6102,Yes,No
6103,No,No
6104,No,No
6105,No,No
6106,No,No
6107,Yes,No
6108,No,No
6109,No,No
6110,Yes,Yes
6111,Yes,Yes
6112,Yes,No
6113,No,No
6114,No,No
6115,No,No
6116,No,No
6117,Yes,Yes
6118,No,No
6119,No,No
6120,No,No
6121,No,No
6122,No,No
6123,Yes,Yes
6124,No,No
6125,No,No
6126,No,No
6127,Yes,Yes
6128,Yes,No
6129,No,No
6130,Yes,No
6131,No,No
6132,No,No
6133,Yes,Yes
6134,No,No
6135,No,No
6136,Yes,No
6137,No,No
6138,No,No
6139,No,No
6140,No,No
6141,No,Yes
6142,No,No
6143,No,No
6144,Yes,No
6145,Yes,No
6146,No,Yes
6147,No,Yes
6148,No,No
6149,No,No
6150,No,No
6151,No,No
6152,No,No
6153,No,No
6154,No,No
6155,Yes,No
6156,No,No
6157,Yes,No
6158,Yes,No
6159,No,No
6160,No,No
6161,No,No
6162,No,No
6163,No,No
6164,No,No
6165,No,No
6166,No,No
6167,No,No
6168,No,No
6169,Yes,Yes
6170,Yes,No
6171,No,No
6172,Yes,No
6173,No,No
6174,No,No
6175,No,No
6176,No,No
6177,No,No
6178,No,No
6179,No,No
6180,Yes,Yes
6181,Yes,Yes
6182,No,No
6183,No,No
6184,Yes,Yes
6185,No,No
6186,No,No
6187,No,No
6188,No,No
6189,Yes,Yes
6190,No,No
6191,No,No
6192,No,No
6193,No,No
6194,No,No
6195,No,No
6196,No,No
6197,No,No
6198,Yes,Yes
6199,Yes,Yes
6200,Yes,No
6201,No,No
6202,Yes,No
6203,No,No
6204,No,No
6205,No,No
6206,Yes,No
6207,No,No
6208,No,No
6209,No,No
6210,No,No
6211,No,No
6212,No,Yes
6213,Yes,No
6214,No,No
6215,Yes,Yes
6216,No,No
6217,Yes,Yes
6218,No,No
6219,No,No
6220,No,No
6221,No,No
6222,Yes,Yes
6223,No,No
6224,No,No
6225,No,No
6226,No,No
6227,No,Yes
6228,No,No
6229,No,No
6230,No,No
6231,No,No
6232,No,No
6233,No,No
6234,No,No
6235,Yes,Yes
6236,Yes,No
6237,No,No
6238,No,No
6239,No,No
6240,No,No
6241,No,No
6242,No,No
6243,No,No
6244,No,No
6245,No,No
6246,No,No
6247,Yes,Yes
6248,No,No
6249,No,No
6250,No,No
6251,Yes,Yes
6252,No,No
6253,No,No
6254,No,No
6255,Yes,Yes
6256,No,No
6257,No,No
6258,No,No
6259,No,No
6260,No,Yes
6261,No,No
6262,No,No
6263,No,No
6264,No,No
6265,No,No
6266,No,No
6267,Yes,No
6268,No,No
6269,No,No
6270,No,No
6271,Yes,Yes
6272,No,No
6273,No,No
6274,No,No
6275,No,No
6276,No,No
6277,No,No
6278,No,No
6279,No,No
6280,Yes,Yes
6281,No,No
6282,No,No
6283,Yes,Yes
6284,Yes,Yes
6285,No,No
6286,No,No
6287,No,No
6288,No,No
6289,No,No
6290,No,Yes
6291,No,No
6292,No,No
6293,No,No
6294,Yes,No
6295,No,No
6296,No,No
6297,No,Yes
6298,No,No
6299,No,No
6300,No,No
6301,No,No
6302,No,No
6303,No,No
6304,No,No
6305,No,No
6306,No,No
6307,No,No
6308,No,No
6309,No,No
6310,No,No
6311,Yes,Yes
6312,No,No
6313,Yes,Yes
6314,Yes,No
6315,Yes,Yes
6316,Yes,No
6317,No,No
6318,No,No
6319,Yes,No
6320,Yes,No
6321,No,No
6322,No,No
6323,No,No
6324,Yes,Yes
6325,No,No
6326,No,No
6327,Yes,Yes
6328,No,No
6329,No,No
6330,Yes,Yes
6331,No,No
6332,No,No
6333,No,No
6334,Yes,Yes
6335,No,No
6336,No,No
6337,No,No
6338,Yes,No
6339,Yes,No
6340,No,No
6341,Yes,Yes
6342,No,No
6343,Yes,Yes
6344,No,No
6345,No,No
6346,Yes,No
6347,Yes,No
6348,No,No
6349,No,No
6350,No,No
6351,No,Yes
6352,No,No
6353,No,No
6354,No,No
6355,Yes,Yes
6356,No,No
6357,Yes,No
6358,Yes,No
6359,No,No
6360,Yes,Yes
6361,No,No
6362,No,No
6363,No,No
6364,No,No
6365,No,No
6366,No,No
6367,No,No
6368,Yes,Yes
6369,No,No
6370,No,No
6371,Yes,Yes
6372,Yes,No
6373,No,No
6374,No,No
6375,No,No
6376,No,No
6377,No,No
6378,No,No
6379,No,No
6380,No,No
6381,No,No
6382,No,No
6383,No,No
6384,No,No
6385,Yes,Yes
6386,No,No
6387,No,No
6388,No,No
6389,No,No
6390,No,No
6391,No,No
6392,No,No
6393,No,No
6394,No,No
6395,Yes,Yes
6396,No,No
6397,Yes,Yes
6398,No,No
6399,No,No
6400,No,No
6401,Yes,Yes
6402,No,No
6403,No,No
6404,Yes,No
6405,No,No
6406,No,No
6407,Yes,Yes
6408,No,No
6409,No,No
6410,No,No
6411,Yes,No
6412,Yes,No
6413,No,No
6414,No,No
6415,No,No
6416,No,No
6417,Yes,No
6418,Yes,Yes
6419,No,No
6420,No,No
6421,Yes,No
6422,No,No
6423,No,No
6424,No,No
6425,No,No
6426,No,No
6427,No,No
6428,No,No
6429,No,No
6430,No,No
6431,No,No
6432,Yes,No
6433,Yes,No
6434,No,No
6435,Yes,Yes
6436,No,No
6437,No,No
6438,No,No
6439,No,No
6440,No,No
6441,No,No
6442,No,Yes
6443,No,No
6444,Yes,No
6445,No,No
6446,No,No
6447,No,No
6448,Yes,Yes
6449,No,No
6450,No,No
6451,No,No
6452,No,No
6453,Yes,Yes
6454,No,No
6455,No,No
6456,Yes,Yes
6457,No,No
6458,No,No
6459,No,No
6460,Yes,No
6461,No,No
6462,No,No
6463,No,No
6464,No,No
6465,Yes,Yes
6466,No,No
6467,No,No
6468,No,No
6469,No,No
6470,No,No
6471,No,No
6472,No,No
6473,Yes,Yes
6474,No,No
6475,No,No
6476,No,No
6477,No,No
6478,No,No
6479,No,No
6480,No,No
6481,No,No
6482,No,No
6483,No,No
6484,No,No
6485,No,No
6486,No,No
6487,Yes,Yes
6488,No,No
6489,Yes,Yes
6490,Yes,Yes
6491,No,No
6492,No,No
6493,Yes,Yes
6494,No,Yes
6495,No,No
6496,No,No
6497,Yes,No
6498,No,No
6499,No,No
6500,No,No
6501,No,No
6502,Yes,No
6503,No,No
6504,No,No
6505,Yes,No
6506,No,Yes
6507,No,No
6508,No,No
6509,No,No
6510,No,No
6511,Yes,Yes
6512,Yes,No
6513,Yes,Yes
6514,No,No
6515,No,Yes
6516,No,No
6517,No,No
6518,No,No
6519,No,No
6520,No,No
6521,No,No
6522,No,No
6523,No,No
6524,No,No
6525,No,No
6526,No,No
6527,No,No
6528,Yes,Yes
6529,No,No
6530,No,No
6531,No,No
6532,No,No
6533,No,No
6534,No,No
6535,Yes,No
6536,No,No
6537,No,No
6538,No,No
6539,No,No
6540,No,No
6541,No,No
6542,Yes,Yes
6543,Yes,Yes
6544,No,No
6545,No,No
6546,Yes,Yes
6547,Yes,No
6548,No,No
6549,No,No
6550,No,No
6551,No,No
6552,No,No
6553,No,No
6554,Yes,No
6555,No,No
6556,No,No
6557,No,No
6558,No,No
6559,Yes,Yes
6560,No,No
6561,No,No
6562,No,No
6563,No,No
6564,Yes,No
6565,No,No
6566,No,No
6567,No,No
6568,Yes,No
6569,No,No
6570,No,No
6571,No,No
6572,No,No
6573,Yes,Yes
6574,No,No
6575,No,No
6576,No,No
6577,Yes,Yes
6578,No,No
6579,No,No
6580,No,No
6581,Yes,No
6582,No,No
6583,Yes,No
6584,No,No
6585,No,No
6586,Yes,No
6587,No,No
6588,No,No
6589,No,No
6590,No,No
6591,No,No
6592,No,No
6593,No,No
6594,No,No
6595,No,No
6596,Yes,No
6597,No,No
6598,Yes,No
6599,No,No
6600,No,No
6601,Yes,Yes
6602,No,Yes
6603,Yes,Yes
6604,No,No
6605,No,No
6606,No,No
6607,No,No
6608,No,No
6609,No,No
6610,No,No
6611,No,No
6612,No,No
6613,No,Yes
6614,No,No
6615,No,No
6616,No,No
6617,No,No
6618,Yes,Yes
6619,No,No
6620,No,No
6621,No,No
6622,No,No
6623,No,No
6624,Yes,Yes
6625,No,No
6626,No,No
6627,No,No
6628,Yes,Yes
6629,No,Yes
6630,No,No
6631,Yes,Yes
6632,Yes,No
6633,No,No
6634,Yes,No
6635,No,No
6636,Yes,Yes
6637,No,No
6638,No,No
6639,No,No
6640,No,No
6641,No,No
6642,No,No
6643,No,No
6644,No,No
6645,Yes,Yes
6646,No,No
6647,Yes,No
6648,No,No
6649,No,No
6650,Yes,Yes
6651,Yes,No
6652,No,No
6653,No,No
6654,No,No
6655,Yes,Yes
6656,No,No
6657,No,No
6658,No,No
6659,No,Yes
6660,No,No
6661,No,No
6662,No,No
6663,No,No
6664,No,No
6665,No,No
6666,No,No
6667,No,No
6668,No,No
6669,No,No
6670,No,No
6671,Yes,No
6672,No,No
6673,No,No
6674,Yes,No
6675,No,No
6676,No,Yes
6677,No,No
6678,Yes,No
6679,No,No
6680,No,No
6681,No,No
6682,Yes,Yes
6683,No,No
6684,No,No
6685,No,No
6686,Yes,No
6687,No,No
6688,Yes,Yes
6689,No,No
6690,No,Yes
6691,Yes,No
6692,No,No
6693,No,Yes
6694,Yes,Yes
6695,No,No
6696,Yes,No
6697,No,No
6698,No,No
6699,No,No
6700,No,No
6701,Yes,Yes
6702,No,No
6703,No,No
6704,No,No
6705,Yes,Yes
6706,No,No
6707,No,No
6708,No,No
6709,Yes,No
6710,No,No
6711,No,No
6712,No,No
6713,Yes,Yes
6714,No,No
6715,No,No
6716,Yes,Yes
6717,Yes,No
6718,Yes,Yes
6719,No,No
6720,Yes,No
6721,No,No
6722,No,No
6723,Yes,No
6724,No,No
6725,No,No
6726,No,No
6727,No,No
6728,Yes,No
6729,No,No
6730,No,No
6731,No,Yes
6732,No,Yes
6733,No,No
6734,No,No
6735,Yes,Yes
6736,Yes,No
6737,Yes,Yes
6738,Yes,No
6739,No,No
6740,No,No
6741,No,No
6742,No,No
6743,Yes,No
6744,Yes,Yes
6745,Yes,No
6746,No,No
6747,Yes,Yes
6748,Yes,No
6749,No,No
6750,No,No
6751,No,No
6752,No,No
6753,No,No
6754,Yes,No
6755,No,No
6756,No,No
6757,No,No
6758,Yes,No
6759,Yes,No
6760,No,No
6761,Yes,No
6762,No,No
6763,No,No
6764,No,No
6765,No,No
6766,No,No
6767,No,No
6768,No,No
6769,No,No
6770,No,No
6771,No,No
6772,No,No
6773,No,No
6774,No,No
6775,Yes,No
6776,No,No
6777,No,No
6778,No,No
6779,No,No
6780,No,No
6781,Yes,No
6782,Yes,Yes
6783,No,No
6784,Yes,Yes
6785,No,No
6786,Yes,No
6787,No,No
6788,No,No
6789,No,No
6790,No,No
6791,No,No
6792,No,No
6793,Yes,Yes
6794,No,No
6795,No,No
6796,No,No
6797,No,No
6798,No,No
6799,No,No
6800,No,No
6801,Yes,Yes
6802,No,No
6803,No,No
6804,No,No
6805,Yes,No
6806,No,No
6807,No,No
6808,Yes,No
6809,No,No
6810,No,No
6811,No,No
6812,Yes,Yes
6813,No,No
6814,No,No
6815,No,No
6816,No,No
6817,No,Yes
6818,Yes,Yes
6819,No,No
6820,Yes,No
6821,Yes,No
6822,No,No
6823,No,No
6824,No,No
6825,Yes,No
6826,No,No
6827,No,No
6828,Yes,Yes
6829,No,No
6830,No,No
6831,No,No
6832,No,No
6833,No,No
6834,No,No
6835,No,No
6836,No,No
6837,Yes,No
6838,No,No
6839,No,No
6840,No,No
6841,No,No
6842,No,No
6843,No,No
6844,No,No
6845,No,No
6846,No,No
6847,No,Yes
6848,No,No
6849,No,No
6850,No,No
6851,No,No
6852,Yes,Yes
6853,No,No
6854,Yes,Yes
6855,No,No
6856,No,No
6857,No,Yes
6858,No,No
6859,No,No
6860,No,No
6861,Yes,No
6862,Yes,No
6863,No,No
6864,Yes,Yes
6865,No,No
6866,No,No
6867,No,No
6868,No,No
6869,Yes,No
6870,No,No
6871,No,No
6872,Yes,No
6873,No,No
6874,Yes,No
6875,No,No
6876,Yes,Yes
6877,No,No
6878,Yes,Yes
6879,No,No
6880,Yes,No
6881,No,No
6882,No,Yes
6883,Yes,No
6884,Yes,Yes
6885,No,No
6886,No,Yes
6887,No,Yes
6888,Yes,No
6889,No,No
6890,No,No
6891,Yes,Yes
6892,No,No
6893,No,Yes
6894,No,No
6895,No,Yes
6896,Yes,No
6897,Yes,Yes
6898,No,No
6899,No,No
6900,No,No
6901,No,No
6902,No,No
6903,No,No
6904,No,No
6905,No,No
6906,No,No
6907,No,No
6908,No,No
6909,No,No
6910,No,No
6911,No,No
6912,No,Yes
6913,No,No
6914,No,No
6915,No,No
6916,No,No
6917,Yes,Yes
6918,No,No
6919,No,No
6920,No,No
6921,No,No
6922,Yes,Yes
6923,No,No
6924,No,No
6925,Yes,Yes
6926,No,No
6927,Yes,Yes
6928,No,No
6929,No,No
6930,No,No
6931,No,No
6932,No,Yes
6933,Yes,Yes
6934,No,No
6935,No,Yes
6936,Yes,Yes
6937,Yes,No
6938,No,No
6939,No,No
6940,No,No
6941,No,No
6942,No,No
6943,No,No
6944,No,No
6945,No,No
6946,No,No
6947,No,Yes
6948,No,No
6949,No,No
6950,No,No
6951,No,Yes
6952,No,No
6953,Yes,Yes
6954,No,No
6955,No,No
6956,No,No
6957,No,No
6958,No,No
6959,No,No
6960,No,No
6961,No,No
6962,Yes,Yes
6963,No,No
6964,No,No
6965,Yes,Yes
6966,No,No
6967,No,No
6968,No,No
6969,No,No
6970,No,No
6971,Yes,Yes
6972,No,Yes
6973,Yes,Yes
6974,Yes,No
6975,Yes,Yes
6976,No,No
6977,No,No
6978,Yes,No
6979,Yes,No
6980,No,No
6981,No,No
6982,No,No
6983,No,No
6984,No,No
6985,No,No
6986,Yes,Yes
6987,No,Yes
6988,No,No
6989,No,No
6990,No,No
6991,No,No
6992,Yes,No
6993,No,Yes
6994,No,No
6995,Yes,Yes
6996,No,No
6997,No,No
6998,No,No
6999,No,No
7000,No,No
7001,No,Yes
7002,No,No
7003,No,No
7004,No,No
7005,No,No
7006,No,No
7007,No,No
7008,No,No
7009,No,No
7010,No,No
7011,No,No
7012,No,No
7013,Yes,Yes
7014,Yes,No
7015,No,No
7016,No,No
7017,No,No
7018,No,No
7019,No,No
7020,Yes,No
7021,No,No
7022,No,No
7023,No,No
7024,No,No
7025,No,No
7026,No,No
7027,Yes,No
7028,No,No
7029,No,No
7030,No,No
7031,No,No
7032,Yes,Yes
7033,Yes,No
7034,No,No
7035,No,No
7036,No,No
7037,No,No
7038,Yes,Yes
7039,No,No
7040,No,No
7041,No,Yes
7042,No,No
7043,No,No
7044,No,No
7045,No,No
7046,No,No
7047,Yes,No
7048,Yes,No
7049,Yes,Yes
7050,No,No
7051,No,No
7052,Yes,Yes
7053,No,No
7054,No,Yes
7055,Yes,Yes
7056,No,No
7057,No,No
7058,No,No
7059,Yes,Yes
7060,No,No
7061,No,No
7062,No,Yes
7063,No,No
7064,No,No
7065,No,No
7066,No,No
7067,No,No
7068,Yes,No
7069,No,No
7070,No,No
7071,No,No
7072,No,No
7073,No,No
7074,No,No
7075,No,No
7076,No,No
7077,No,Yes
7078,No,No
7079,Yes,No
7080,No,No
7081,No,No
7082,No,No
7083,No,No
7084,No,No
7085,No,No
7086,Yes,Yes
7087,No,No
7088,No,No
7089,No,No
7090,No,No
7091,Yes,No
7092,No,No
7093,No,No
7094,No,No
7095,No,Yes
7096,Yes,No
7097,No,No
7098,Yes,No
7099,Yes,No
7100,No,No
7101,Yes,No
7102,No,No
7103,Yes,Yes
7104,No,No
7105,No,No
7106,No,No
7107,No,Yes
7108,No,No
7109,No,No
7110,No,No
7111,No,No
7112,No,No
7113,No,No
7114,No,No
7115,No,No
7116,No,No
7117,No,No
7118,No,No
7119,No,No
7120,No,No
7121,No,No
7122,No,No
7123,No,No
7124,No,No
7125,No,No
7126,No,No
7127,No,No
7128,No,No
7129,Yes,No
7130,No,No
7131,Yes,No
7132,No,No
7133,Yes,No
7134,No,No
7135,No,No
7136,No,No
7137,No,No
7138,No,Yes
7139,Yes,Yes
7140,No,No
7141,Yes,Yes
7142,No,No
7143,Yes,No
7144,No,No
7145,No,Yes
7146,No,No
7147,No,No
7148,No,No
7149,No,No
7150,No,No
7151,No,No
7152,No,No
7153,No,No
7154,No,No
7155,No,No
7156,No,No
7157,No,No
7158,No,No
7159,No,No
7160,No,No
7161,No,No
7162,No,No
7163,No,No
7164,No,No
7165,No,No
7166,No,No
7167,No,No
7168,Yes,Yes
7169,No,No
7170,No,No
7171,No,No
7172,No,No
7173,No,No
7174,Yes,No
7175,No,No
7176,No,No
7177,No,No
7178,No,No
7179,No,No
7180,No,No
7181,No,No
7182,No,No
7183,No,No
7184,No,No
7185,No,No
7186,Yes,Yes
7187,No,No
7188,No,Yes
7189,No,No
7190,No,No
7191,No,No
7192,No,No
7193,No,No
7194,No,No
7195,No,No
7196,No,No
7197,No,No
7198,Yes,No
7199,Yes,No
7200,No,No
7201,No,No
7202,No,No
7203,No,No
7204,No,No
7205,No,No
7206,No,No
7207,Yes,No
7208,No,No
7209,No,No
7210,No,No
7211,Yes,No
7212,No,No
7213,No,No
7214,Yes,No
7215,Yes,No
7216,Yes,No
7217,No,No
7218,No,No
7219,No,No
7220,No,No
7221,No,No
7222,No,No
7223,No,No
7224,No,No
7225,No,No
7226,No,No
7227,No,No
7228,No,No
7229,Yes,No
7230,No,No
7231,No,No
7232,No,No
7233,Yes,Yes
7234,No,No
7235,Yes,Yes
7236,Yes,Yes
7237,No,No
7238,No,No
7239,Yes,Yes
7240,No,No
7241,No,No
7242,No,No
7243,No,No
7244,No,No
7245,Yes,Yes
7246,Yes,No
7247,Yes,Yes
7248,Yes,No
7249,Yes,Yes
7250,Yes,No
7251,Yes,Yes
7252,No,No
7253,No,No
7254,No,No
7255,Yes,Yes
7256,Yes,Yes
7257,No,No
7258,No,No
7259,No,No
7260,No,No
7261,Yes,No
7262,No,No
7263,No,No
7264,No,No
7265,No,No
7266,No,No
7267,Yes,No
7268,No,No
7269,No,No
7270,No,No
7271,No,No
7272,No,No
7273,No,No
7274,No,No
